kd_kab,total,COMPLETED BY Admin Kabupaten,prov_id,name,time_stamp,type,EDITED BY Admin Kabupaten,OPEN,SUBMITTED BY Pencacah,APPROVED BY Pengawas,REJECTED BY Pengawas,assigned,have-not-assigned
9501,14,,95,PENDATAAN IBS TRIWULANAN 2025,2026-03-17 21:26:19,user_assignment,,,,,,14.0,0.0
9503,6,,95,PENDATAAN IBS TRIWULANAN 2025,2026-03-17 21:26:19,user_assignment,,,,,,6.0,0.0
9502,4,,95,PENDATAAN IBS TRIWULANAN 2025,2026-03-17 21:26:19,user_assignment,,,,,,4.0,0.0
9601,40,,96,PENDATAAN IBS TRIWULANAN 2025,2026-03-17 21:26:19,user_assignment,,,,,,40.0,0.0
9604,2,,96,PENDATAAN IBS TRIWULANAN 2025,2026-03-17 21:26:19,user_assignment,,,,,,2.0,0.0
9608,1,,96,PENDATAAN IBS TRIWULANAN 2025,2026-03-17 21:26:19,user_assignment,,,,,,1.0,0.0
9702,5,,97,PENDATAAN IBS TRIWULANAN 2025,2026-03-17 21:26:19,user_assignment,,,,,,5.0,0.0
9471,8,,94,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-17 21:26:19,user_assignment,,,,,,0.0,8.0
9403,6,,94,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-17 21:26:19,user_assignment,,,,,,0.0,6.0
9409,5,,94,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-17 21:26:19,user_assignment,,,,,,0.0,5.0
9408,1,,94,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-17 21:26:19,user_assignment,,,,,,0.0,1.0
9501,5,,95,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-17 21:26:19,user_assignment,,,,,,5.0,0.0
9502,2,,95,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-17 21:26:19,user_assignment,,,,,,0.0,2.0
9503,2,,95,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-17 21:26:19,user_assignment,,,,,,0.0,2.0
9601,12,,96,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-17 21:26:19,user_assignment,,,,,,0.0,12.0
9604,1,,96,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-17 21:26:19,user_assignment,,,,,,1.0,0.0
9702,4,,97,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-17 21:26:19,user_assignment,,,,,,0.0,4.0
9420,131,,94,IMK Triwulanan 2026 - LISTING,2026-03-17 21:26:20,user_assignment,,,,,,131.0,0.0
9403,104,,94,IMK Triwulanan 2026 - LISTING,2026-03-17 21:26:20,user_assignment,,,,,,104.0,0.0
9471,42,,94,IMK Triwulanan 2026 - LISTING,2026-03-17 21:26:20,user_assignment,,,,,,0.0,42.0
9409,24,,94,IMK Triwulanan 2026 - LISTING,2026-03-17 21:26:20,user_assignment,,,,,,24.0,0.0
9427,21,,94,IMK Triwulanan 2026 - LISTING,2026-03-17 21:26:20,user_assignment,,,,,,21.0,0.0
9408,16,,94,IMK Triwulanan 2026 - LISTING,2026-03-17 21:26:20,user_assignment,,,,,,0.0,16.0
9426,9,,94,IMK Triwulanan 2026 - LISTING,2026-03-17 21:26:20,user_assignment,,,,,,9.0,0.0
9419,8,,94,IMK Triwulanan 2026 - LISTING,2026-03-17 21:26:20,user_assignment,,,,,,8.0,0.0
9428,4,,94,IMK Triwulanan 2026 - LISTING,2026-03-17 21:26:20,user_assignment,,,,,,0.0,4.0
9503,378,,95,IMK Triwulanan 2026 - LISTING,2026-03-17 21:26:19,user_assignment,,,,,,378.0,0.0
9501,35,,95,IMK Triwulanan 2026 - LISTING,2026-03-17 21:26:19,user_assignment,,,,,,25.0,10.0
9502,28,,95,IMK Triwulanan 2026 - LISTING,2026-03-17 21:26:19,user_assignment,,,,,,0.0,28.0
9504,18,,95,IMK Triwulanan 2026 - LISTING,2026-03-17 21:26:19,user_assignment,,,,,,0.0,18.0
9604,604,,96,IMK Triwulanan 2026 - LISTING,2026-03-17 21:26:20,user_assignment,,,,,,604.0,0.0
9605,54,,96,IMK Triwulanan 2026 - LISTING,2026-03-17 21:26:20,user_assignment,,,,,,48.0,6.0
9601,44,,96,IMK Triwulanan 2026 - LISTING,2026-03-17 21:26:20,user_assignment,,,,,,44.0,0.0
9603,30,,96,IMK Triwulanan 2026 - LISTING,2026-03-17 21:26:20,user_assignment,,,,,,25.0,5.0
9608,14,,96,IMK Triwulanan 2026 - LISTING,2026-03-17 21:26:20,user_assignment,,,,,,14.0,0.0
9602,4,,96,IMK Triwulanan 2026 - LISTING,2026-03-17 21:26:20,user_assignment,,,,,,4.0,0.0
9606,4,,96,IMK Triwulanan 2026 - LISTING,2026-03-17 21:26:20,user_assignment,,,,,,3.0,1.0
9707,463,,97,IMK Triwulanan 2026 - LISTING,2026-03-17 21:26:20,user_assignment,,,,,,463.0,0.0
9702,56,,97,IMK Triwulanan 2026 - LISTING,2026-03-17 21:26:20,user_assignment,,,,,,56.0,0.0
9704,8,,97,IMK Triwulanan 2026 - LISTING,2026-03-17 21:26:20,user_assignment,,,,,,0.0,8.0
9703,6,,97,IMK Triwulanan 2026 - LISTING,2026-03-17 21:26:20,user_assignment,,,,,,6.0,0.0
9708,4,,97,IMK Triwulanan 2026 - LISTING,2026-03-17 21:26:20,user_assignment,,,,,,0.0,4.0
9706,2,,97,IMK Triwulanan 2026 - LISTING,2026-03-17 21:26:20,user_assignment,,,,,,0.0,2.0
9701,1,,97,IMK Triwulanan 2026 - LISTING,2026-03-17 21:26:20,user_assignment,,,,,,0.0,1.0
